iter	Passed	Remaining
0	57	57290
1	57	28853
2	58	19339
3	58	14587
4	58	11714
5	59	9820
6	59	8460
7	60	7476
8	60	6678
9	60	6033
10	61	5510
11	61	5084
12	62	4726
13	62	4416
14	63	4149
15	63	3921
16	64	3709
17	64	3519
18	64	3354
19	65	3207
20	65	3073
21	66	2945
22	66	2834
23	67	2727
24	67	2631
25	67	2538
26	68	2457
27	68	2380
28	68	2305
29	69	2246
30	70	2188
31	70	2131
32	70	2073
33	71	2021
34	71	1974
35	71	1927
36	72	1883
37	72	1846
38	73	1807
39	73	1769
40	74	1737
41	74	1704
42	75	1674
43	75	1646
44	76	1619
45	76	1592
46	77	1563
47	77	1536
48	77	1512
49	78	1489
50	78	1465
51	79	1445
52	79	1422
53	80	1402
54	80	1380
55	80	1360
56	81	1343
57	81	1324
58	81	1307
59	82	1288
60	82	1273
61	83	1259
62	83	1242
63	84	1229
64	84	1213
65	84	1197
66	85	1186
67	85	1172
68	85	1159
69	86	1146
70	86	1134
71	87	1122
72	87	1111
73	87	1099
74	88	1087
75	88	1077
76	88	1066
77	89	1055
78	89	1045
79	90	1036
80	90	1027
81	91	1020
82	91	1009
83	91	1000
84	92	991
85	92	983
86	92	975
87	93	966
88	93	957
89	93	949
90	94	942
91	94	934
92	95	927
93	95	921
94	95	913
95	96	905
96	96	898
97	97	892
98	97	886
99	97	880
100	98	874
101	98	869
102	99	865
103	99	859
104	100	853
105	100	849
106	101	845
107	101	839
108	102	834
109	102	828
110	102	823
111	103	820
112	103	815
113	104	810
114	104	805
115	104	799
116	105	793
117	105	789
118	105	784
119	106	779
120	106	774
121	107	770
122	107	766
123	107	761
124	108	757
125	108	753
126	109	749
127	109	746
128	110	743
129	110	740
130	110	736
131	111	732
132	111	728
133	112	723
134	112	719
135	112	715
136	113	717
137	114	714
138	114	710
139	115	707
140	115	703
141	115	699
142	116	696
143	116	693
144	117	689
145	117	686
146	117	682
147	118	679
148	118	676
149	118	673
150	119	671
151	119	668
152	120	666
153	120	664
154	121	661
155	121	658
156	122	656
157	122	654
158	123	652
159	123	650
160	124	646
161	124	643
162	124	641
163	125	639
164	126	637
165	126	635
166	126	632
167	127	629
168	127	627
169	128	625
170	128	622
171	128	620
172	129	618
173	129	615
174	130	613
175	130	611
176	131	609
177	131	607
178	131	604
179	132	602
180	132	600
181	133	597
182	133	595
183	133	593
184	134	591
185	134	589
186	135	587
187	135	585
188	135	582
189	136	580
190	136	578
191	137	577
192	137	574
193	138	574
194	138	572
195	138	570
196	139	567
197	139	566
198	140	564
199	140	562
200	141	560
201	141	559
202	142	558
203	142	556
204	143	555
205	143	553
206	144	551
207	145	552
208	145	551
209	146	549
210	146	548
211	146	546
212	147	545
213	148	543
214	148	542
215	148	540
216	149	539
217	149	538
218	150	536
219	150	534
220	151	533
221	151	532
222	152	530
223	152	528
224	153	528
225	153	526
226	154	525
227	154	524
228	155	523
229	155	521
230	156	520
231	156	519
232	157	517
233	157	515
234	157	513
235	158	512
236	158	511
237	159	510
238	159	508
239	160	507
240	160	506
241	161	504
242	161	503
243	161	501
244	162	500
245	162	498
246	163	497
247	163	495
248	163	494
249	164	492
250	164	491
251	165	490
252	165	489
253	166	488
254	166	486
255	166	485
256	167	483
257	167	482
258	168	481
259	168	480
260	169	478
261	169	477
262	169	475
263	170	474
264	170	474
265	171	472
266	171	471
267	172	470
268	172	468
269	172	467
270	173	465
271	173	464
272	174	463
273	174	462
274	174	461
275	175	459
276	175	458
277	176	457
278	176	455
279	176	454
280	177	453
281	177	452
282	178	451
283	178	449
284	178	448
285	179	447
286	179	445
287	179	444
288	180	443
289	180	441
290	180	440
291	181	439
292	181	438
293	182	438
294	182	437
295	183	435
296	183	434
297	184	433
298	184	432
299	184	431
300	185	430
301	185	429
302	186	428
303	186	427
304	187	426
305	187	425
306	188	424
307	188	423
308	188	422
309	189	421
310	189	420
311	190	419
312	190	417
313	190	416
314	191	415
315	191	414
316	191	413
317	192	412
318	192	411
319	192	409
320	193	408
321	193	407
322	193	406
323	194	404
324	194	404
325	194	402
326	195	402
327	195	400
328	195	399
329	196	398
330	196	397
331	197	396
332	197	395
333	197	394
334	198	393
335	198	392
336	199	391
337	199	390
338	199	389
339	200	388
340	200	387
341	200	386
342	201	385
343	201	384
344	202	383
345	202	382
346	202	381
347	203	380
348	203	379
349	203	378
350	204	377
351	204	376
352	205	375
353	205	374
354	205	373
355	206	372
356	206	371
357	206	370
358	207	370
359	207	369
360	208	368
361	208	367
362	208	366
363	209	365
364	209	364
365	210	363
366	210	363
367	210	362
368	211	361
369	211	360
370	211	359
371	212	358
372	212	357
373	212	356
374	213	355
375	213	354
376	214	353
377	214	352
378	214	351
379	215	351
380	215	350
381	216	349
382	216	348
383	216	347
384	217	347
385	217	346
386	218	345
387	218	344
388	218	343
389	219	342
390	219	341
391	219	341
392	220	340
393	220	339
394	221	338
395	221	337
396	221	336
397	222	336
398	222	335
399	223	334
400	223	333
401	224	333
402	225	333
403	225	332
404	225	332
405	226	331
406	226	330
407	227	329
408	227	328
409	227	328
410	229	328
411	229	327
412	229	326
413	230	325
414	230	325
415	230	324
416	231	323
417	231	322
418	232	321
419	232	320
420	232	320
421	233	319
422	233	318
423	233	317
424	234	316
425	234	316
426	234	315
427	235	314
428	235	313
429	235	312
430	236	312
431	236	311
432	237	310
433	237	309
434	238	309
435	238	308
436	238	307
437	239	306
438	239	306
439	239	305
440	240	304
441	240	303
442	241	303
443	241	302
444	242	301
445	242	301
446	242	300
447	243	299
448	243	299
449	244	298
450	244	297
451	244	296
452	245	295
453	245	295
454	245	294
455	246	293
456	246	293
457	247	292
458	247	291
459	248	291
460	248	290
461	248	289
462	249	289
463	249	288
464	249	287
465	250	286
466	250	286
467	251	285
468	251	284
469	251	283
470	252	283
471	252	282
472	252	281
473	253	280
474	253	280
475	253	279
476	254	278
477	254	278
478	254	277
479	255	276
480	255	275
481	256	275
482	256	274
483	256	273
484	257	273
485	257	272
486	258	271
487	258	271
488	258	270
489	259	269
490	259	269
491	260	268
492	260	267
493	260	267
494	261	266
495	261	265
496	262	265
497	262	264
498	262	263
499	263	263
500	263	262
501	263	261
502	264	260
503	264	260
504	264	259
505	265	259
506	265	258
507	266	257
508	266	257
509	266	256
510	267	255
511	267	255
512	268	254
513	268	253
514	268	253
515	269	252
516	269	251
517	270	251
518	270	250
519	270	250
520	271	249
521	271	248
522	272	248
523	272	247
524	272	246
525	273	246
526	273	245
527	273	244
528	274	244
529	274	243
530	274	242
531	275	242
532	275	241
533	276	240
534	276	240
535	276	239
536	277	239
537	277	238
538	277	237
539	278	237
540	278	236
541	279	235
542	279	235
543	280	234
544	280	234
545	280	233
546	281	232
547	281	232
548	281	231
549	282	231
550	282	230
551	283	229
552	283	229
553	284	228
554	284	228
555	285	227
556	285	227
557	285	226
558	286	225
559	286	225
560	287	224
561	287	224
562	287	223
563	288	222
564	288	222
565	289	221
566	289	220
567	289	220
568	290	219
569	290	219
570	291	218
571	291	218
572	292	217
573	292	217
574	292	216
575	293	215
576	293	215
577	294	214
578	294	214
579	295	213
580	295	213
581	295	212
582	296	211
583	296	211
584	297	210
585	297	210
586	298	209
587	298	209
588	299	208
589	299	208
590	299	207
591	300	207
592	300	206
593	301	205
594	301	205
595	302	204
596	302	204
597	302	203
598	303	203
599	303	202
600	304	201
601	304	201
602	304	200
603	305	200
604	305	199
605	306	199
606	307	198
607	307	198
608	307	197
609	308	197
610	308	196
611	309	196
612	309	195
613	310	194
614	310	194
615	310	193
616	311	193
617	311	192
618	311	192
619	312	191
620	313	191
621	313	190
622	313	189
623	314	189
624	314	188
625	315	188
626	315	187
627	316	187
628	316	186
629	316	186
630	317	185
631	317	184
632	318	184
633	318	183
634	319	183
635	319	182
636	319	182
637	320	181
638	320	181
639	321	180
640	321	180
641	322	179
642	322	179
643	323	178
644	323	178
645	324	177
646	324	177
647	324	176
648	325	175
649	325	175
650	326	174
651	326	174
652	327	173
653	327	173
654	327	172
655	328	172
656	328	171
657	328	170
658	329	170
659	329	169
660	330	169
661	330	168
662	331	168
663	331	167
664	332	167
665	332	166
666	332	166
667	333	165
668	333	165
669	334	164
670	334	164
671	335	163
672	335	162
673	335	162
674	336	161
675	336	161
676	336	160
677	337	160
678	337	159
679	338	159
680	338	158
681	338	157
682	339	157
683	339	157
684	340	156
685	340	156
686	341	155
687	341	154
688	341	154
689	342	153
690	342	153
691	343	152
692	343	152
693	344	151
694	344	151
695	345	150
696	345	150
697	345	149
698	346	149
699	346	148
700	347	148
701	347	147
702	347	146
703	348	146
704	348	145
705	349	145
706	349	144
707	349	144
708	350	143
709	350	143
710	351	142
711	351	142
712	352	141
713	353	141
714	353	140
715	354	140
716	354	139
717	354	139
718	355	138
719	355	138
720	356	137
721	356	137
722	357	136
723	357	136
724	357	135
725	358	135
726	358	134
727	359	134
728	359	133
729	359	133
730	359	132
731	360	131
732	360	131
733	361	130
734	361	130
735	362	129
736	362	129
737	362	128
738	363	128
739	363	127
740	364	127
741	364	126
742	365	126
743	365	125
744	365	125
745	366	124
746	366	124
747	367	123
748	367	123
749	368	122
750	368	122
751	369	121
752	369	121
753	369	120
754	370	120
755	370	119
756	371	119
757	371	118
758	371	118
759	372	117
760	372	117
761	373	116
762	373	115
763	373	115
764	374	114
765	374	114
766	375	114
767	375	113
768	376	113
769	377	112
770	377	112
771	377	111
772	378	111
773	378	110
774	379	110
775	379	109
776	380	109
777	380	108
778	381	108
779	381	107
780	381	107
781	382	106
782	382	106
783	383	105
784	383	105
785	383	104
786	384	103
787	384	103
788	384	102
789	385	102
790	385	101
791	386	101
792	386	100
793	386	100
794	387	99
795	387	99
796	388	98
797	388	98
798	388	97
799	389	97
800	389	96
801	390	96
802	390	95
803	391	95
804	391	94
805	391	94
806	392	93
807	392	93
808	393	92
809	393	92
810	393	91
811	394	91
812	394	90
813	394	90
814	395	89
815	395	89
816	396	88
817	396	88
818	397	87
819	397	87
820	398	86
821	398	86
822	398	85
823	399	85
824	399	84
825	399	84
826	400	83
827	401	83
828	401	82
829	401	82
830	402	81
831	402	81
832	402	80
833	403	80
834	403	79
835	404	79
836	404	78
837	405	78
838	405	77
839	405	77
840	406	76
841	406	76
842	407	75
843	407	75
844	408	74
845	408	74
846	409	73
847	409	73
848	409	72
849	410	72
850	410	71
851	411	71
852	411	70
853	411	70
854	412	69
855	412	69
856	413	69
857	413	68
858	414	68
859	414	67
860	414	66
861	415	66
862	415	65
863	416	65
864	416	65
865	416	64
866	417	64
867	417	63
868	418	63
869	418	62
870	418	62
871	419	61
872	419	61
873	420	60
874	420	60
875	421	59
876	421	59
877	421	58
878	422	58
879	422	57
880	423	57
881	423	56
882	424	56
883	424	55
884	424	55
885	425	54
886	425	54
887	426	53
888	426	53
889	427	52
890	427	52
891	428	51
892	428	51
893	429	50
894	429	50
895	429	49
896	430	49
897	430	48
898	430	48
899	431	47
900	431	47
901	431	46
902	432	46
903	432	45
904	433	45
905	433	44
906	433	44
907	434	43
908	434	43
909	435	43
910	435	42
911	436	42
912	436	41
913	436	41
914	437	40
915	437	40
916	438	39
917	438	39
918	439	38
919	439	38
920	440	37
921	440	37
922	440	36
923	441	36
924	441	35
925	442	35
926	442	34
927	443	34
928	443	33
929	444	33
930	444	32
931	445	32
932	445	31
933	445	31
934	446	31
935	446	30
936	447	30
937	447	29
938	447	29
939	448	28
940	448	28
941	449	27
942	449	27
943	450	26
944	450	26
945	451	25
946	451	25
947	452	24
948	452	24
949	453	23
950	453	23
951	454	22
952	454	22
953	455	21
954	455	21
955	456	20
956	456	20
957	457	20
958	457	19
959	457	19
960	458	18
961	458	18
962	459	17
963	459	17
964	459	16
965	460	16
966	460	15
967	460	15
968	461	14
969	461	14
970	461	13
971	462	13
972	462	12
973	463	12
974	463	11
975	464	11
976	464	10
977	465	10
978	465	9
979	466	9
980	466	9
981	467	8
982	467	8
983	468	7
984	468	7
985	469	6
986	469	6
987	470	5
988	470	5
989	471	4
990	471	4
991	471	3
992	472	3
993	472	2
994	472	2
995	473	1
996	473	1
997	474	0
998	474	0
999	474	0
